m,Learning Rate,Depth,Hidden Units,Train Loss,Test Loss,Train Misc,Test Misc
800,0.2500,1,16,0.0402,0.0407,0.5913,0.6163
10,1.0000,1,256,0.0000,0.0452,0.0000,0.6173
100,1.0000,3,16,0.0400,0.0415,0.5300,0.6173
400,0.2500,1,16,0.0394,0.0402,0.5925,0.6205
200,0.2500,1,16,0.0373,0.0398,0.5050,0.6216
10,0.2500,4,256,0.0000,0.0387,0.0000,0.6226
10,4.0000,2,256,0.0000,0.0412,0.0000,0.6247
40,0.2500,1,64,0.0096,0.0407,0.0250,0.6247
800,16.0000,4,16,0.0390,0.0385,0.6387,0.6247
10,0.2500,2,64,0.0052,0.0404,0.0000,0.6258
10,1.0000,3,256,0.0000,0.0417,0.0000,0.6268
10,16.0000,3,16,0.0062,0.0469,0.1000,0.6268
800,1.0000,3,16,0.0424,0.0426,0.5938,0.6268
800,4.0000,4,256,0.0388,0.0400,0.6013,0.6279
10,16.0000,1,64,0.0000,0.0458,0.0000,0.6321
40,4.0000,3,16,0.0192,0.0370,0.1250,0.6364
10,1.0000,1,16,0.0047,0.0415,0.0000,0.6374
100,4.0000,4,16,0.0344,0.0394,0.5400,0.6406
40,16.0000,2,256,0.0007,0.0419,0.0000,0.6416
10,0.0625,4,256,0.0004,0.0422,0.0000,0.6438
10,1.0000,2,256,0.0000,0.0423,0.0000,0.6469
40,0.0625,1,256,0.0149,0.0551,0.1250,0.6469
100,0.0625,3,64,0.0380,0.0409,0.4900,0.6469
10,4.0000,4,64,0.0000,0.0471,0.0000,0.6490
1600,0.2500,1,16,0.0405,0.0407,0.6606,0.6501
800,0.0625,1,64,0.0417,0.0424,0.6300,0.6512
10,16.0000,1,16,0.0000,0.0464,0.0000,0.6522
100,0.2500,1,16,0.0374,0.0411,0.4700,0.6533
10,4.0000,3,64,0.0000,0.0402,0.0000,0.6575
10,1.0000,2,16,0.0214,0.0417,0.1000,0.6575
40,0.2500,1,16,0.0344,0.0401,0.3250,0.6596
1600,1.0000,3,16,0.0423,0.0423,0.6587,0.6638
1600,16.0000,3,16,0.0343,0.0351,0.6575,0.6649
40,0.0625,2,256,0.0061,0.0438,0.0000,0.6660
200,1.0000,3,16,0.0419,0.0426,0.6100,0.6660
100,0.0625,1,64,0.0346,0.0423,0.4600,0.6681
200,4.0000,4,256,0.0384,0.0422,0.5900,0.6723
10,4.0000,3,16,0.0069,0.0468,0.1000,0.6755
1600,0.0625,2,64,0.0403,0.0404,0.6531,0.6755
10,0.2500,1,64,0.0020,0.0430,0.0000,0.6765
400,1.0000,3,16,0.0430,0.0433,0.6750,0.6776
10,1.0000,2,64,0.0003,0.0406,0.0000,0.6829
10,1.0000,3,64,0.0007,0.0410,0.0000,0.6829
200,0.0625,2,64,0.0392,0.0412,0.5650,0.6829
10,0.2500,1,256,0.0000,0.0566,0.0000,0.6882
10,16.0000,3,64,0.0004,0.0622,0.0000,0.6903
800,0.0625,2,64,0.0411,0.0409,0.6912,0.6903
1600,0.0625,1,64,0.0425,0.0427,0.6869,0.6913
10,0.2500,2,256,0.0000,0.0463,0.0000,0.6977
40,0.0625,1,64,0.0272,0.0456,0.2750,0.6987
800,4.0000,4,16,0.0396,0.0403,0.6262,0.7019
10,1.0000,4,64,0.0007,0.0451,0.0000,0.7051
10,4.0000,1,16,0.0003,0.0424,0.0000,0.7061
1600,0.2500,2,16,0.0438,0.0436,0.7206,0.7061
10,0.0625,3,256,0.0005,0.0499,0.0000,0.7082
10,16.0000,2,16,0.0002,0.0614,0.0000,0.7093
200,16.0000,3,64,0.0342,0.0400,0.6150,0.7093
40,16.0000,3,16,0.0373,0.0463,0.5750,0.7104
10,0.2500,3,64,0.0099,0.0438,0.0000,0.7114
200,0.0625,3,64,0.0417,0.0427,0.6300,0.7125
